producto,marca,descripcion,rubro,url_producto,imagen,mpn,sku,precio_bajo,precio_alto
Puré de tomate Carrefour 520 g.,Genérico,&lt;img src=&quot;https://contenidos.carrefour.com.ar/carrefourproductos/contenidocrf/Cenefas_pure_tomates.jpg&quot; alt=&quot;Imagen Samsung&quot; style=&quot;width:100%; display:block; margin: 20px auto 20px&quot;/&gt;,Almacen,https://www.carrefour.com.ar/pure-de-tomate-carrefour-520-g/p,https://carrefourar.vtexassets.com/arquivos/ids/188708/7798141711031_01.jpg?v=1771608522,435332,24927,156.24,156.24
Tomate perita Carrefour 400 g.,Genérico,,Almacen,https://www.carrefour.com.ar/tomate-perita-carrefour-400-g-37689/p,https://carrefourar.vtexassets.com/arquivos/ids/188424/7798141714346_01.jpg?v=1771608880,437302,35300,149.04,149.04
Fideos tirabuzones Matarazzo 500 g.,Matarazzo,,Almacen,https://www.carrefour.com.ar/fideos-tirabuzones-matarazzo-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/175371/7790070318602_01.jpg?v=1771605854,568963,4171,243.5,243.5
Mayonesa Natura 475 g.,Natura,,Almacen,https://www.carrefour.com.ar/mayonesa-natura-475-g/p,https://carrefourar.vtexassets.com/arquivos/ids/234471/7791866001364_02.jpg?v=1771608912,152816,20078,346.0,346.0
Mayonesa Hellmann&apos;s regular doy pack 475 g.,Hellmanns,,Almacen,https://www.carrefour.com.ar/mayonesa-hellmann-s-regular-doy-pack-475-g-694755/p,https://carrefourar.vtexassets.com/arquivos/ids/276730/7794000006072_E02.jpg?v=1771589972,694755,87797,407.0,407.0
Aceite de girasol Pureza 1500 cc.,Pureza,,Almacen,https://www.carrefour.com.ar/aceite-de-girasol-pureza-1500-cc/p,https://carrefourar.vtexassets.com/arquivos/ids/155419/7792180137944_02.jpg?v=1771609026,664054,14995,896.0,896.0
Fideos tirabuzones Lucchetti 500 g.,Lucchetti,,Almacen,https://www.carrefour.com.ar/fideos-tirabuzones-lucchetti-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/175099/7790070318329_01.jpg?v=1771607240,571166,19846,228.0,228.0
Arvejas secas remojadas Inalpa lata 300 g.,Inalpa,,Almacen,https://www.carrefour.com.ar/arvejas-secas-remojadas-inalpa-lata-300-g-695916/p,https://carrefourar.vtexassets.com/arquivos/ids/241886/7792350067019_02.jpg?v=1771589884,695916,88591,178.0,178.0
Sal fina Carrefour bolsa 500 g.,Carrefour,,Almacen,https://www.carrefour.com.ar/sal-fina-carrefour-bolsa-500-g/p,https://carrefourar.vtexassets.com/arquivos/ids/181550/7798159716455_01.jpg?v=1771589526,575040,19234,96.17,96.17
Choclo en granos Arcor amarillo lata 300 g.,Arcor,,Almacen,https://www.carrefour.com.ar/choclo-en-granos-arcor-amarillo-lata-300-g-699528-699528/p,https://carrefourar.vtexassets.com/arquivos/ids/245937/7790580132422_02.jpg?v=1771607242,699528,94756,212.5,212.5
