producto|marca|descripcion|rubro|url_producto|mpn|sku|precio_bajo|precio_alto
Puré de tomate Carrefour 520 g.|Genérico|&lt;img src=&quot;https://contenidos.carrefour.com.ar/carrefourproductos/contenidocrf/Cenefas_pure_tomates.jpg&quot; alt=&quot;Imagen Samsung&quot; style=&quot;width:100%; display:block; margin: 20px auto 20px&quot;/&gt;|Almacen|https://www.carrefour.com.ar/pure-de-tomate-carrefour-520-g/p|435332|24927|156.24|156.24
Tomate perita Carrefour 400 g.|Genérico||Almacen|https://www.carrefour.com.ar/tomate-perita-carrefour-400-g-37689/p|437302|35300|149.04|149.04
Fideos tirabuzones Matarazzo 500 g.|Matarazzo||Almacen|https://www.carrefour.com.ar/fideos-tirabuzones-matarazzo-500-g/p|568963|4171|243.5|243.5
Mayonesa Natura 475 g.|Natura||Almacen|https://www.carrefour.com.ar/mayonesa-natura-475-g/p|152816|20078|346.0|346.0
Mayonesa Hellmann&apos;s regular doy pack 475 g.|Hellmanns||Almacen|https://www.carrefour.com.ar/mayonesa-hellmann-s-regular-doy-pack-475-g-694755/p|694755|87797|407.0|407.0
Aceite de girasol Pureza 1500 cc.|Pureza||Almacen|https://www.carrefour.com.ar/aceite-de-girasol-pureza-1500-cc/p|664054|14995|896.0|896.0
Fideos tirabuzones Lucchetti 500 g.|Lucchetti||Almacen|https://www.carrefour.com.ar/fideos-tirabuzones-lucchetti-500-g/p|571166|19846|228.0|228.0
Arvejas secas remojadas Inalpa lata 300 g.|Inalpa||Almacen|https://www.carrefour.com.ar/arvejas-secas-remojadas-inalpa-lata-300-g-695916/p|695916|88591|178.0|178.0
Sal fina Carrefour bolsa 500 g.|Carrefour||Almacen|https://www.carrefour.com.ar/sal-fina-carrefour-bolsa-500-g/p|575040|19234|96.17|96.17
Choclo en granos Arcor amarillo lata 300 g.|Arcor||Almacen|https://www.carrefour.com.ar/choclo-en-granos-arcor-amarillo-lata-300-g-699528-699528/p|699528|94756|212.5|212.5
Polenta instantánea Presto Pronta bolsa 730 g.|Presto Pronta||Almacen|https://www.carrefour.com.ar/polenta-instantanea-presto-pronta-bolsa-730-g-697807/p|697807|91680|371.83|371.83
Fideos coditos Lucchetti 500 g.|Lucchetti||Almacen|https://www.carrefour.com.ar/fideos-coditos-lucchetti-500-g/p|571168|17904|235.5|235.5
Puré de tomate Arcor tetra 530 g.|Silk||Almacen|https://www.carrefour.com.ar/pure-de-tomate-arcor-tetra-530-g-702054/p|702054|98098|174.05|174.05
Fideos spaghetti Matarazzo 500 g.|Matarazzo||Almacen|https://www.carrefour.com.ar/fideos-spaghetti-matarazzo-500-g/p|568965|4250|267.0|267.0
